"id","y","quarter","location"
"U1",0.68,"1","Upstream"
"U1",0.83,"1","Reservoir"
"U1",0.76,"1","Downstream"
"U1",0.53,"2","Upstream"
"U1",0.75,"2","Reservoir"
"U1",0.64,"2","Downstream"
"U1",0.72,"3","Upstream"
"U1",0.81,"3","Reservoir"
"U1",0.84,"3","Downstream"
"U1",0.78,"4","Upstream"
"U1",0.85,"4","Reservoir"
"U1",0.86,"4","Downstream"
"U2",0.58,"1","Upstream"
"U2",0.84,"1","Reservoir"
"U2",0.77,"1","Downstream"
"U2",0.71,"2","Upstream"
"U2",0.9,"2","Reservoir"
"U2",0.93,"2","Downstream"
"U2",0.8,"3","Upstream"
"U2",0.88,"3","Reservoir"
"U2",0.85,"3","Downstream"
"U2",0.67,"4","Upstream"
"U2",0.89,"4","Reservoir"
"U2",0.9,"4","Downstream"
"U3",0.85,"1","Upstream"
"U3",0.92,"1","Reservoir"
"U3",0.87,"1","Downstream"
"U3",0.77,"2","Upstream"
"U3",0.79,"2","Reservoir"
"U3",0.74,"2","Downstream"
"U3",0.89,"3","Upstream"
"U3",0.84,"3","Reservoir"
"U3",0.89,"3","Downstream"
"U3",0.8,"4","Upstream"
"U3",0.83,"4","Reservoir"
"U3",0.85,"4","Downstream"
"U4",0.79,"1","Upstream"
"U4",0.73,"1","Reservoir"
"U4",0.51,"1","Downstream"
"U4",0.86,"2","Reservoir"
"U4",0.86,"2","Downstream"
"U4",0.86,"3","Upstream"
"U4",0.89,"3","Reservoir"
"U4",0.9,"3","Downstream"
"U4",0.76,"4","Upstream"
"U4",0.83,"4","Reservoir"
"U4",0.79,"4","Downstream"
"U5",0.77,"1","Upstream"
"U5",0.79,"1","Reservoir"
"U5",0.82,"1","Downstream"
"U5",0.78,"2","Upstream"
"U5",0.78,"2","Reservoir"
"U5",0.87,"2","Downstream"
"U5",0.79,"3","Upstream"
"U5",0.89,"3","Reservoir"
"U5",0.83,"3","Downstream"
"U5",0.9,"4","Upstream"
"U5",0.9,"4","Reservoir"
"U5",0.9,"4","Downstream"
"U6",0.86,"1","Upstream"
"U6",0.86,"1","Reservoir"
"U6",0.84,"1","Downstream"
"U6",0.86,"2","Upstream"
"U6",0.74,"2","Reservoir"
"U6",0.74,"2","Downstream"
"U6",0.88,"3","Upstream"
"U6",0.88,"3","Reservoir"
"U6",0.91,"3","Downstream"
"U6",0.8,"4","Upstream"
"U6",0.84,"4","Reservoir"
"U6",0.69,"4","Downstream"
"U7",0.77,"1","Upstream"
"U7",0.63,"1","Reservoir"
"U7",0.83,"1","Downstream"
"U7",0.74,"2","Upstream"
"U7",0.9,"2","Reservoir"
"U7",0.82,"2","Downstream"
"U7",0.64,"3","Upstream"
"U7",0.86,"3","Reservoir"
"U7",0.8,"3","Downstream"
"U7",0.74,"4","Upstream"
"U7",0.82,"4","Reservoir"
"U7",0.82,"4","Downstream"
"U8",0.81,"1","Upstream"
"U8",0.79,"1","Reservoir"
"U8",0.67,"1","Downstream"
"U8",0.84,"2","Upstream"
"U8",0.87,"2","Reservoir"
"U8",0.86,"2","Downstream"
"U8",0.83,"3","Upstream"
"U8",0.91,"3","Reservoir"
"U8",0.92,"3","Downstream"
"U8",0.91,"4","Upstream"
"U8",0.86,"4","Reservoir"
"U9",0.91,"1","Upstream"
"U9",0.9,"1","Reservoir"
"U9",0.88,"1","Downstream"
"U9",0.86,"2","Upstream"
"U9",0.9,"2","Reservoir"
"U9",0.89,"2","Downstream"
"U9",0.85,"3","Upstream"
"U9",0.82,"3","Reservoir"
"U9",0.73,"3","Downstream"
"U9",0.9,"4","Upstream"
"U9",0.87,"4","Reservoir"
"U9",0.87,"4","Downstream"
"U10",0.58,"1","Upstream"
"U10",0.57,"1","Reservoir"
"U10",0.64,"1","Downstream"
"U10",0.85,"2","Upstream"
"U10",0.87,"2","Reservoir"
"U10",0.84,"2","Downstream"
"U10",0.76,"3","Upstream"
"U10",0.84,"3","Reservoir"
"U10",0.89,"3","Downstream"
"U10",0.7,"4","Upstream"
"U10",0.71,"4","Reservoir"
"U10",0.61,"4","Downstream"
"U11",0.73,"1","Upstream"
"U11",0.88,"1","Reservoir"
"U11",0.85,"1","Downstream"
"U11",0.84,"2","Upstream"
"U11",0.81,"2","Reservoir"
"U11",0.84,"2","Downstream"
"U11",0.77,"3","Upstream"
"U11",0.9,"3","Reservoir"
"U11",0.86,"3","Downstream"
"U11",0.61,"4","Upstream"
"U11",0.87,"4","Reservoir"
"U11",0.73,"4","Downstream"
"U12",0.77,"1","Upstream"
"U12",0.78,"1","Reservoir"
"U12",0.85,"1","Downstream"
"U12",0.87,"2","Upstream"
"U12",0.84,"2","Reservoir"
"U12",0.82,"2","Downstream"
"U12",0.79,"3","Upstream"
"U12",0.72,"3","Reservoir"
"U12",0.71,"3","Downstream"
"U12",0.79,"4","Upstream"
"U12",0.65,"4","Reservoir"
"U12",0.71,"4","Downstream"
"U13",0.74,"1","Upstream"
"U13",0.78,"1","Reservoir"
"U13",0.74,"1","Downstream"
"U13",0.69,"2","Upstream"
"U13",0.74,"2","Reservoir"
"U13",0.78,"2","Downstream"
"U13",0.84,"3","Upstream"
"U13",0.77,"3","Reservoir"
"U13",0.78,"3","Downstream"
"U13",0.7,"4","Upstream"
"U13",0.7,"4","Reservoir"
"U13",0.76,"4","Downstream"
"U14",0.85,"1","Upstream"
"U14",0.88,"1","Reservoir"
"U14",0.82,"1","Downstream"
"U14",0.93,"2","Upstream"
"U14",0.79,"2","Reservoir"
"U14",0.92,"2","Downstream"
"U14",0.91,"3","Upstream"
"U14",0.86,"3","Reservoir"
"U14",0.77,"3","Downstream"
"U14",0.81,"4","Upstream"
"U14",0.82,"4","Reservoir"
"U14",0.7,"4","Downstream"
"U15",0.81,"1","Upstream"
"U15",0.72,"1","Reservoir"
"U15",0.77,"1","Downstream"
"U15",0.79,"2","Upstream"
"U15",0.82,"2","Reservoir"
"U15",0.87,"2","Downstream"
"U15",0.8,"3","Upstream"
"U15",0.82,"3","Reservoir"
"U15",0.79,"3","Downstream"
"U15",0.59,"4","Upstream"
